sku,title,brand,model,price,product_url,platform,shop,category,tags,selling_points,limitations,recommendation_text,raw_specs_text
,AMD Ryzen 5 9600X 处理器,AMD,Ryzen 5 9600X,1599,,JD,,cpu,AM5|DDR5|6核12线程|游戏CPU,单核性能强|功耗较低|AM5升级空间好,多核生产力不如8核或12核CPU,适合游戏为主兼顾轻中度开发的装机方案,品牌 AMD；型号 Ryzen 5 9600X；接口 AM5；6核12线程；基础频率 3.9GHz；睿频 5.4GHz；TDP 65W；核显 true；架构 Zen 5；发布时间 2024。
,AMD Ryzen 7 7700 处理器,AMD,Ryzen 7 7700,1699,,JD,,cpu,AM5|DDR5|8核16线程|开发CPU,8核16线程更适合多任务|功耗低|平台升级空间好,单核和新架构不如9000系,适合游戏和Android开发均衡方案,品牌 AMD；型号 Ryzen 7 7700；接口 AM5；8核16线程；基础频率 3.8GHz；睿频 5.3GHz；TDP 65W；核显 true；架构 Zen 4；发布时间 2023。
,Intel Core i5-14600KF 处理器,Intel,Core i5-14600KF,1799,,JD,,cpu,LGA1700|14核20线程|高频游戏CPU,游戏性能强|多线程性能好,无核显且功耗和散热压力较高,适合偏游戏同时有编译需求的用户,品牌 Intel；型号 Core i5-14600KF；接口 LGA1700；14核20线程；基础频率 3.5GHz；睿频 5.3GHz；TDP 125W；核显 false；架构 Raptor Lake Refresh；发布时间 2023。
,AMD Ryzen 7 9700X 处理器,AMD,Ryzen 7 9700X,2299,,JD,,cpu,AM5|DDR5|8核16线程|Zen5,能效优秀|单核性能强|适合开发和游戏,价格高于Ryzen 7 7700,适合预算稍高且重视能效的装机方案,品牌 AMD；型号 Ryzen 7 9700X；接口 AM5；8核16线程；基础频率 3.8GHz；睿频 5.5GHz；TDP 65W；核显 true；架构 Zen 5；发布时间 2024。
,微星 B650M MORTAR WIFI 主板,MSI,B650M MORTAR WIFI,1299,,JD,,motherboard,AM5|B650|M-ATX|DDR5|Wi-Fi,供电规格稳|带Wi-Fi和蓝牙|适合AM5中高端装机,扩展能力弱于ATX主板,适合Ryzen 7000到9000平台的均衡主板,品牌 MSI；型号 B650M MORTAR WIFI；接口 AM5；芯片组 B650；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；最高内存频率 7600MHz；M.2 插槽 2；SATA接口 4；Wi-Fi true；蓝牙 true。
,华硕 TUF GAMING B650M-PLUS WIFI 主板,ASUS,TUF GAMING B650M-PLUS WIFI,1399,,JD,,motherboard,AM5|B650|TUF|Wi-Fi,做工扎实|无线连接完整|适合长期使用,价格高于入门B650M,适合追求稳定性的AM5平台,品牌 ASUS；型号 TUF GAMING B650M-PLUS WIFI；接口 AM5；芯片组 B650；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；M.2 插槽 2；Wi-Fi true；蓝牙 true。
,技嘉 B760M AORUS ELITE AX 主板,GIGABYTE,B760M AORUS ELITE AX,1199,,JD,,motherboard,LGA1700|B760|DDR5|Wi-Fi,适合Intel 12到14代|带Wi-Fi|扩展够用,不支持CPU超频,适合i5级Intel游戏和开发主机,品牌 技嘉；型号 B760M AORUS ELITE AX；接口 LGA1700；芯片组 B760；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；M.2 插槽 2；Wi-Fi true；蓝牙 true。
,微星 PRO B760M-A WIFI DDR5 主板,MSI,PRO B760M-A WIFI DDR5,1099,,JD,,motherboard,LGA1700|B760|M-ATX|Wi-Fi,价格适中|无线功能完整|适合主流Intel平台,外观和供电规格偏实用,适合预算控制型Intel装机,品牌 MSI；型号 PRO B760M-A WIFI DDR5；接口 LGA1700；芯片组 B760；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；M.2 插槽 2；Wi-Fi true；蓝牙 true。
100059277629,铭瑄 GeForce RTX 4070 iCraft OC12G 显卡,MAXSUN,MS-RTX4070 iCraft OC12G,4299,https://item.jd.com/100059277629.html,JD,铭瑄京东自营旗舰店,gpu,NVIDIA|RTX4070|12GB|2K游戏,2K游戏性能较强|支持CUDA和DLSS|功耗相对可控,12GB显存在部分AI场景偏紧,适合2K游戏和CUDA轻量创作,品牌 铭瑄；显卡型号 RTX 4070；显存容量 12GB；显存类型 GDDR6X；显存位宽 192bit；建议电源 650W；显卡长度 320mm；电源接口 8pin x 1；CUDA true。
100268714364,技嘉 GeForce RTX 5080 WindForce 16G 显卡,GIGABYTE,RTX 5080 WindForce 16G,8299,https://item.jd.com/100268714364.html,JD,技嘉京东自营旗舰店,gpu,NVIDIA|RTX5080|16GB|4K游戏,4K游戏性能强|16GB显存|适合AI和创作,价格高且需要高规格电源和机箱空间,适合高预算游戏和AI创作用户,品牌 技嘉；显卡型号 RTX 5080；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 850W；显卡长度 340mm；电源接口 12V-2x6；CUDA true。
10138402741560,微星 RTX 5070 Ti 神龙 OC 16G 显卡,MSI,RTX 5070 Ti 神龙 OC 16G,6299,https://item.jd.com/10138402741560.html,JD,小而美电脑小店,gpu,NVIDIA|RTX5070Ti|16GB|2K高刷,2K高刷余量好|16GB显存|支持CUDA,价格高于RTX4070级别,适合2K高刷游戏和轻中度AI,品牌 微星；显卡型号 RTX 5070 Ti；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 750W；显卡长度 330mm；电源接口 12V-2x6；CUDA true。
10167066467136,七彩虹 iGame RTX 5080 Vulcan W OC 显卡,Colorful,RTX 5080 Vulcan W OC,8999,https://item.jd.com/10167066467136.html,JD,高端显卡旗舰店,gpu,NVIDIA|RTX5080|白色显卡|16GB,高端性能|白色主题外观|适合4K和创作,体积大且预算压力大,适合白色高端主题主机,品牌 七彩虹；显卡型号 RTX 5080；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 850W；显卡长度 348mm；电源接口 12V-2x6；CUDA true。
10174937944914,微星 RTX5080 16G 魔龙 显卡,MSI,RTX5080 16G 魔龙,8599,https://item.jd.com/10174937944914.html,JD,微星至达专卖店,gpu,NVIDIA|RTX5080|16GB|高端游戏,散热规格高|性能强|适合4K游戏,需要较高预算和电源规格,适合高性能游戏主机,品牌 微星；显卡型号 RTX 5080；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 850W；显卡长度 336mm；电源接口 12V-2x6；CUDA true。
100053199702,NVIDIA GeForce RTX 4060 Ti Founder Edition 显卡,NVIDIA,RTX 4060 Ti Founder Edition,2999,https://item.jd.com/100053199702.html,JD,英伟达,gpu,NVIDIA|RTX4060Ti|8GB|1080p游戏,功耗低|支持DLSS和CUDA|适合1080p游戏,8GB显存限制2K和AI场景,适合预算有限的1080p游戏用户,品牌 NVIDIA；显卡型号 RTX 4060 Ti；显存容量 8GB；显存类型 GDDR6；显存位宽 128bit；建议电源 550W；显卡长度 244mm；电源接口 8pin x 1；CUDA true。
100356288414,瀚铠 RX 9070 16GB OC 超合金 PRO 白色显卡,VASTARMOR,RX 9070 16GB OC 超合金 PRO,4899,https://item.jd.com/100356288414.html,JD,,gpu,AMD|RX9070|16GB|白色显卡,16GB显存适合2K游戏|白色外观|三风扇散热,不支持CUDA且AI生态弱于NVIDIA,适合2K游戏和非CUDA创作用户,品牌 瀚铠；显卡型号 RX 9070；显存容量 16GB；显存类型 GDDR6；显存位宽 256bit；建议电源 650W；显卡长度 332mm；电源接口 8pin x 2；CUDA false。
,蓝宝石 Radeon RX 7800 XT 16G 白金版 显卡,Sapphire,RX 7800 XT 16G 白金版,3699,,JD,,gpu,AMD|RX7800XT|16GB|2K游戏,16GB显存|2K游戏性价比高,不适合CUDA工作流,适合偏游戏且预算有限的2K用户,品牌 蓝宝石；显卡型号 RX 7800 XT；显存容量 16GB；显存类型 GDDR6；显存位宽 256bit；建议电源 700W；显卡长度 320mm；电源接口 8pin x 2；CUDA false。
,索泰 GeForce RTX 4070 SUPER X-GAMING OC 显卡,ZOTAC,RTX 4070 SUPER X-GAMING OC,4699,,JD,,gpu,NVIDIA|RTX4070SUPER|12GB|2K高刷,2K高刷表现好|CUDA生态完整,12GB显存对部分AI任务有限,适合2K高刷和轻量AI用户,品牌 索泰；显卡型号 RTX 4070 SUPER；显存容量 12GB；显存类型 GDDR6X；显存位宽 192bit；建议电源 700W；显卡长度 307mm；电源接口 12VHPWR；CUDA true。
,华硕 DUAL RTX 4060 O8G 显卡,ASUS,DUAL RTX 4060 O8G,2399,,JD,,gpu,NVIDIA|RTX4060|8GB|入门游戏,功耗低|适合小机箱|支持DLSS,不适合2K高画质和AI大模型,适合1080p游戏和轻办公,品牌 华硕；显卡型号 RTX 4060；显存容量 8GB；显存类型 GDDR6；显存位宽 128bit；建议电源 550W；显卡长度 227mm；电源接口 8pin x 1；CUDA true。
,讯景 Radeon RX 7900 GRE 16G 海外版 显卡,XFX,RX 7900 GRE 16G,4199,,JD,,gpu,AMD|RX7900GRE|16GB|2K高刷,游戏性价比较高|16GB显存,AI CUDA生态不足,适合高性价比2K游戏,品牌 讯景；显卡型号 RX 7900 GRE；显存容量 16GB；显存类型 GDDR6；显存位宽 256bit；建议电源 750W；显卡长度 335mm；电源接口 8pin x 2；CUDA false。
,七彩虹 RTX 5070 Ultra W OC 12GB 显卡,Colorful,RTX 5070 Ultra W OC 12GB,5499,,JD,,gpu,NVIDIA|RTX5070|12GB|白色显卡,适合2K高刷|DLSS新特性|白色外观,12GB显存不如16GB型号宽裕,适合游戏优先的白色主题装机,品牌 七彩虹；显卡型号 RTX 5070；显存容量 12GB；显存类型 GDDR7；显存位宽 192bit；建议电源 750W；显卡长度 320mm；电源接口 12V-2x6；CUDA true。
,金士顿 FURY Beast DDR5 32GB 6000MHz 内存套装,Kingston,FURY Beast DDR5 32GB 6000MHz,699,,JD,,memory,DDR5|32GB|6000MHz|双通道,适合游戏和普通开发|频率适合AM5甜点档,重度开发建议64GB,适合游戏和中轻度开发,品牌 金士顿；内存类型 DDR5；总容量 32GB；条数 2；单条容量 16GB；频率 6000MHz；时序 CL30；RGB false。
,芝奇 幻锋戟 DDR5 32GB 6400MHz RGB 内存套装,G.SKILL,Trident Z5 RGB DDR5 32GB 6400,899,,JD,,memory,DDR5|32GB|6400MHz|RGB,频率较高|RGB外观好,价格高于普通条,适合重视外观和性能的游戏主机,品牌 芝奇；内存类型 DDR5；总容量 32GB；条数 2；单条容量 16GB；频率 6400MHz；时序 CL32；RGB true。
,海盗船 复仇者 DDR5 64GB 6000MHz 内存套装,Corsair,Vengeance DDR5 64GB 6000,1399,,JD,,memory,DDR5|64GB|开发|双通道,64GB适合Android模拟器和Docker|容量充足,价格高于32GB套装,适合开发增强型主机,品牌 海盗船；内存类型 DDR5；总容量 64GB；条数 2；单条容量 32GB；频率 6000MHz；时序 CL36；RGB false。
,英睿达 DDR5 32GB 5600MHz 内存套装,Crucial,DDR5 32GB 5600,599,,JD,,memory,DDR5|32GB|5600MHz|高性价比,价格较低|稳定性好,频率和时序不如高端条,适合预算控制型DDR5平台,品牌 英睿达；内存类型 DDR5；总容量 32GB；条数 2；频率 5600MHz；时序 CL46；RGB false。
,金百达 银爵 DDR4 32GB 3600MHz 内存套装,KINGBANK,银爵 DDR4 32GB 3600,399,,JD,,memory,DDR4|32GB|3600MHz|性价比,适合DDR4平台升级|价格低,不适合DDR5新平台,适合旧平台或预算型装机,品牌 金百达；内存类型 DDR4；总容量 32GB；条数 2；频率 3600MHz；时序 CL18；RGB false。
,西部数据 WD_BLACK SN850X 2TB NVMe SSD,WD,Black SN850X 2TB,999,,JD,,ssd,2TB|NVMe|PCIe4.0|M.2 2280,速度强|容量适合游戏和开发|带缓存,价格高于入门SSD,适合系统盘和主力盘合一,品牌 WD；型号 SN850X；存储类型 SSD；容量 2TB；接口 M.2；协议 NVMe PCIe 4.0；规格 M.2 2280；读取 7300MB/s；写入 6600MB/s；寿命 1200TBW；DRAM缓存 true。
,三星 990 PRO 2TB NVMe SSD,Samsung,990 PRO 2TB,1099,,JD,,ssd,2TB|NVMe|PCIe4.0|高性能,旗舰性能|适合大型项目和游戏,价格较高,适合高性能主机系统盘,品牌 三星；型号 990 PRO；存储类型 SSD；容量 2TB；接口 M.2；协议 NVMe PCIe 4.0；规格 M.2 2280；读取 7450MB/s；写入 6900MB/s；寿命 1200TBW；DRAM缓存 true。
,致态 TiPlus7100 1TB NVMe SSD,ZHITAI,TiPlus7100 1TB,499,,JD,,ssd,1TB|NVMe|PCIe4.0|国产颗粒,性能强|价格适中,1TB容量对游戏库偏小,适合预算有限的主力盘,品牌 致态；型号 TiPlus7100；存储类型 SSD；容量 1TB；接口 M.2；协议 NVMe PCIe 4.0；规格 M.2 2280；读取 7000MB/s；写入 6000MB/s；寿命 600TBW；DRAM缓存 false。
,铠侠 RC20 1TB NVMe SSD,Kioxia,EXCERIA G2 RC20 1TB,399,,JD,,ssd,1TB|NVMe|PCIe3.0|带缓存,价格低|稳定性好|适合系统盘,速度不如PCIe4.0,适合入门和办公游戏主机,品牌 铠侠；型号 RC20；存储类型 SSD；容量 1TB；接口 M.2；协议 NVMe PCIe 3.0；规格 M.2 2280；读取 2100MB/s；写入 1700MB/s；寿命 400TBW；DRAM缓存 true。
,希捷 酷鱼 4TB 机械硬盘,Seagate,Barracuda 4TB,549,,JD,,hdd,4TB|HDD|仓库盘,大容量价格低|适合素材和备份,速度慢且不适合系统盘,适合搭配SSD作为仓库盘,品牌 希捷；型号 Barracuda；存储类型 HDD；容量 4TB；接口 SATA；协议 SATA 6Gbps；规格 3.5英寸；转速 5400RPM；缓存 256MB。
,海韵 FOCUS GX-750 金牌全模组电源,Seasonic,FOCUS GX-750,799,,JD,,psu,750W|金牌|全模组|高可靠性,可靠性高|全模组走线方便,无原生12V-2x6接口,适合中高端游戏和开发主机,品牌 海韵；型号 FOCUS GX-750；额定功率 750W；认证 80Plus Gold；模组 full_modular；12V-2x6 false；PCIe 8pin 4；长度 140mm；质保 10年。
,长城 GX850 金牌全模组 ATX3.0 电源,Great Wall,GX850 ATX3.0,699,,JD,,psu,850W|金牌|ATX3.0|12V-2x6,功率余量大|支持新显卡供电,品牌高端口碑略弱于海韵,适合RTX5070Ti以上显卡,品牌 长城；型号 GX850 ATX3.0；额定功率 850W；认证 80Plus Gold；模组 full_modular；ATX 3.0；12V-2x6 true；PCIe 8pin 4；长度 150mm；质保 7年。
,振华 LEADEX G 750W 金牌全模组电源,Super Flower,LEADEX G 750W,729,,JD,,psu,750W|金牌|全模组,平台口碑好|稳定性好,不一定带原生12V-2x6,适合中高端主机,品牌 振华；型号 LEADEX G 750W；额定功率 750W；认证 80Plus Gold；模组 full_modular；12V-2x6 false；PCIe 8pin 4；长度 160mm；质保 10年。
,航嘉 MVP K850 金牌 ATX3.0 电源,Huntkey,MVP K850,599,,JD,,psu,850W|金牌|ATX3.0,价格相对低|支持新显卡接口,质保和高端口碑需对比,适合预算控制的中高端装机,品牌 航嘉；型号 MVP K850；额定功率 850W；认证 80Plus Gold；模组 full_modular；ATX 3.0；12V-2x6 true；PCIe 8pin 4；长度 150mm；质保 5年。
,利民 Peerless Assassin 120 双塔风冷散热器,Thermalright,Peerless Assassin 120,199,,JD,,cpu_cooler,双塔风冷|AM5|LGA1700|高性价比,散热能力强|性价比高|无水冷维护风险,大型双塔可能挡高马甲内存,适合多数游戏和开发主机,品牌 利民；型号 Peerless Assassin 120；散热类型 air；支持接口 AM4|AM5|LGA1700|LGA1851；散热能力 220W；高度 155mm；风扇数量 2；噪音 25.6dBA；RGB false。
,九州风神 AK620 双塔风冷散热器,DeepCool,AK620,299,,JD,,cpu_cooler,双塔风冷|高性能|无RGB,散热规格高|适合高功耗CPU,高度160mm需确认机箱,适合i5高端和Ryzen 7平台,品牌 九州风神；型号 AK620；散热类型 air；支持接口 AM4|AM5|LGA1700|LGA1851；散热能力 260W；高度 160mm；风扇数量 2；噪音 28dBA；RGB false。
,酷冷至尊 冰神 B360 一体式水冷散热器,Cooler Master,MasterLiquid 360,499,,JD,,cpu_cooler,360水冷|ARGB|高散热,适合高功耗CPU|外观效果好,需要机箱支持360冷排且有水冷维护风险,适合高性能和外观型装机,品牌 酷冷至尊；型号 MasterLiquid 360；散热类型 liquid；支持接口 AM4|AM5|LGA1700|LGA1851；散热能力 300W；冷排 360mm；风扇数量 3；噪音 30dBA；RGB true。
,利民 Frozen Magic 240 一体式水冷散热器,Thermalright,Frozen Magic 240,299,,JD,,cpu_cooler,240水冷|高性价比,价格低|兼容性好,散热能力不如360水冷,适合中端CPU和紧凑机箱,品牌 利民；型号 Frozen Magic 240；散热类型 liquid；支持接口 AM4|AM5|LGA1700|LGA1851；散热能力 250W；冷排 240mm；风扇数量 2；噪音 28dBA；RGB false。
,联力 A3-mATX 机箱,LIAN LI,A3-mATX,499,,JD,,case,M-ATX|紧凑机箱|前置Type-C,体积紧凑|显卡兼容空间好|前置USB-C,默认风扇数量不足,适合小体积但要装长显卡的用户,品牌 联力；型号 A3-mATX；机箱类型 M-ATX；支持主板 M-ATX|Mini-ITX；显卡限长 415mm；散热限高 165mm；电源限长 220mm；冷排支持 240|360；标配风扇 0；最大风扇 10；前置USB-C true；RGB false。
,乔思伯 D31 MESH 副屏版 机箱,JONSBO,D31 MESH,399,,JD,,case,M-ATX|网孔面板|副屏,风道好|外观有特色,副屏版价格更高,适合M-ATX展示型主机,品牌 乔思伯；型号 D31 MESH；机箱类型 M-ATX；支持主板 M-ATX|Mini-ITX；显卡限长 330mm；散热限高 168mm；电源限长 200mm；冷排支持 240|360；标配风扇 0；最大风扇 8；前置USB-C true；RGB false。
,先马 趣造2 M-ATX 机箱,SAMA,趣造2,299,,JD,,case,M-ATX|高性价比|紧凑,价格低|兼容性够用,做工和扩展不如高端机箱,适合预算型M-ATX装机,品牌 先马；型号 趣造2；机箱类型 M-ATX；支持主板 M-ATX|Mini-ITX；显卡限长 335mm；散热限高 165mm；电源限长 180mm；冷排支持 240|280；标配风扇 0；最大风扇 7；前置USB-C true；RGB false。
,追风者 P360A 中塔机箱,Phanteks,P360A,399,,JD,,case,ATX|风道机箱|ARGB,风道好|支持ATX主板|带风扇,体积大于M-ATX紧凑机箱,适合主流游戏主机,品牌 追风者；型号 P360A；机箱类型 ATX；支持主板 ATX|M-ATX|Mini-ITX；显卡限长 400mm；散热限高 160mm；电源限长 220mm；冷排支持 240|280|360；标配风扇 2；最大风扇 7；前置USB-C true；RGB true。
